cty,Name,College_Graduation_Rate_rP_gP_pall
cty24027,"Howard County, MD",0.6434
cty24005,"Baltimore County, MD",0.4497
cty24025,"Harford County, MD",0.433
cty24003,"Anne Arundel County, MD",0.429
cty24510,"Baltimore city, MD",0.2163
