cz,Name,College_Graduation_Rate_rP_gP_pall
cz4501,"West Liberty, KY",0.2311
cz9302,"Toccoa, GA",0.231
cz3101,"McComb, MS",0.2309
cz29602,"Eldon, MO",0.2305
cz25103,"Harrison, AR",0.2297
cz29800,"Aurora, MO",0.2294
cz11102,"Troy, AL",0.2294
cz32304,"Uvalde, TX",0.2269
cz5300,"West Memphis, AR",0.2269
cz33603,"Frederick, OK",0.2267
cz6501,"Ellijay, GA",0.2256
cz34602,"Rawlins, WY",0.2219
cz26105,"Polk, MO",0.2201
cz8402,"Washington, GA",0.2195
cz31403,"Fort Stockton, TX",0.2192
cz4902,"Dyersburg, TN",0.2177
cz31103,"Gonzales, TX",0.2152
cz1301,"Bennettsville, SC",0.2148
cz3001,"Kosciusko, MS",0.2112
cz34002,"Idabel, AR & OK",0.2111
cz10101,"Bainbridge, GA",0.2111
cz34103,"Valdez, AK",0.2105
cz8502,"Cordele, GA",0.2103
cz7700,"Lake City, FL",0.2047
cz36402,"Vernal, UT",0.2024
cz32306,"Eagle Pass, TX",0.2019
cz3902,"Lake Providence, LA",0.2001
cz30403,"Okmulgee, OK",0.1991
cz21502,"Pine City, MN",0.199
cz31501,"Crystal City, TX",0.1986
cz35500,"Gallup, AZ & NM",0.1976
cz8501,"Fitzgerald, GA",0.1959
cz27605,"Mission, SD",0.1944
cz32303,"Junction, TX",0.187
cz35905,"Loa, UT",0.1822
cz35002,"Safford, AZ",0.1697
cz30605,"Van Horn, TX",0.1572
cz30702,"Santa Rosa, NM",0.1532
cz26603,"East Corson UT, ND & SD",0.1456
cz31402,"Pecos, TX",0.145
cz34101,"Sand Point, AK",0.1151
cz27602,"Eagle Butte, SD",0.1122
cz31502,"Pearsall, TX",0.0906
cz34114,"Unalaska, AK",0.0901
cz34107,"Dillingham, AK",0.0666
cz34106,"Nome, AK",0.0519
cz34113,"Barrow, AK",0.0372
cz34112,"Bethel, AK",0.0255
cz34105,"Kotzebue, AK",0.0193
cz31304,"Mason, TX",
cz34104,"Bristol Bay, AK",
cz29002,"Coldwater, KS",
cz30907,"Matador, TX",
cz34306,"Jordan, MT",
cz26405,"Scobey, MT",
cz27604,"Murdo, SD",
,Average,0.32765545
