cz,Name,College_Graduation_Rate_rP_gP_pall
cz28001,"Sioux City, IA & NE & SD",0.3838
cz24802,"Springfield, IL",0.3835
cz39400,"Seattle, WA",0.3831
cz11401,"Marquette, MI",0.3831
cz39202,"Enterprise, OR",0.3826
cz11301,"Fredericksburg, VA",0.3818
cz37700,"Santa Rosa, CA",0.3815
cz23900,"Peoria, IL",0.381
cz23700,"Galesburg, IL",0.381
cz8100,"Columbia, SC",0.3805
cz21202,"Redwood Falls, MN",0.3803
cz27901,"Hastings, NE",0.38
cz34805,"Alamosa, CO",0.3791
cz38801,"Portland, OR & WA",0.379
cz23802,"Clinton, IA",0.3789
cz29505,"Polk, MO",0.3783
cz38000,"San Diego, CA",0.3782
cz28302,"Ogallala, CO & NE",0.378
cz7900,"Gainesville, FL",0.3778
cz38200,"Santa Barbara, CA",0.3776
cz29202,"Marysville, KS",0.3771
cz39204,"Condon, OR",0.3763
cz2300,"Lynchburg, VA",0.3759
cz15500,"Steubenville, OH & WV",0.3759
cz900,"Charlotte, NC & SC",0.3756
cz3300,"New Orleans, LA",0.3754
cz26204,"Steele, ND",0.3752
cz32000,"Houston, TX",0.374
cz14700,"Evansville, IL & IN",0.3738
cz28301,"Sterling, CO",0.3737
cz14900,"Gary, IN",0.3733
cz27701,"Scottsbluff, NE",0.3732
cz29301,"Wichita, KS",0.3732
cz3500,"Baton Rouge, LA",0.373
cz21302,"Owatonna, MN",0.3726
cz9301,"Winder, GA",0.3725
cz29302,"Newton, KS",0.3724
cz38502,"Wenatchee, WA",0.3705
cz5600,"Nashville, TN",0.3704
cz28102,"Nebraska City, NE",0.3703
cz35903,"Moab, UT",0.37
cz16703,"Buckhannon, WV",0.3699
cz28401,"Colorado Springs, CO",0.3697
cz33100,"Dallas, TX",0.3693
cz19100,"Reading, PA",0.3687
cz27302,"Fairmont, IA & MN",0.3687
cz22400,"Sheboygan, WI",0.3683
cz7000,"Miami, FL",0.3679
cz16500,"Erie, NY & PA",0.3677
cz27202,"Worthington, IA & MN",0.3674
cz13400,"Lima, OH",0.3672
cz29004,"Great Bend, KS",0.3671
cz18100,"Elmira, NY & PA",0.3667
cz27802,"Columbus, NE",0.3667
cz34304,"Sheridan, MT & WY",0.3665
cz26504,"Watertown, SD",0.3662
cz9800,"Auburn, AL",0.3659
cz31800,"College Station, TX",0.3659
cz29501,"Leavenworth, KS",0.3657
cz27005,"Yankton, NE & SD",0.3656
cz18400,"Plattsburgh, NY",0.3654
cz17800,"Oneonta, NY",0.3645
cz24400,"Rockford, IL",0.3643
cz22601,"Green Bay, WI",0.3641
cz10700,"Birmingham, AL",0.362
cz1001,"Boone, NC & TN",0.3613
cz21301,"Mankato, MN",0.3604
cz21900,"Marshalltown, IA",0.3602
cz19200,"Harrisburg, PA",0.3598
cz34303,"Riverton, WY",0.3596
cz13501,"Toledo, MI & OH",0.3594
cz28609,"Lexington, NE",0.3593
cz7300,"Palm Bay, FL",0.3589
cz302,"Knoxville, TN",0.3588
cz16701,"Elkins, WV",0.3586
cz26702,"Grafton, MN & ND",0.3585
cz31303,"Kerrville, TX",0.3581
cz24000,"Kenosha, WI",0.3576
cz26802,"Lisbon, ND",0.3575
cz28402,"Limon, CO",0.3573
cz27101,"Willmar, MN",0.3571
cz31005,"Perryton, TX",0.3571
cz34902,"Socorro, NM",0.3565
cz35600,"Hilo, HI",0.3565
cz26412,"Williston, ND",0.3563
cz14100,"Fort Wayne, IN",0.3562
cz17502,"Winchester, VA & WV",0.3555
cz16200,"Altoona, PA",0.3554
cz9900,"Tallahassee, FL",0.3552
cz1500,"Wilmington, NC",0.3546
cz22500,"Oshkosh, WI",0.3541
cz6000,"Huntsville, AL & TN",0.354
cz27601,"Rapid City, SD",0.3537
cz26703,"Thief River Falls, MN",0.3536
cz34702,"Kapaa, HI",0.3535
cz7100,"Port St. Lucie, FL",0.3533
cz27903,"Grand Island, NE",0.3531
cz26301,"Devils Lake, ND",0.3528
cz3003,"Jackson, MS",0.3526
cz19902,"Easton, MD",0.3525
cz27402,"Fort Dodge, IA",0.3523
cz36000,"Provo, UT",0.3514
cz8300,"Greenville, SC",0.3511
cz23600,"Burlington, IA & IL & MO",0.351
cz18300,"Watertown, NY",0.3505
cz32702,"Stephenville, TX",0.3502
cz30501,"Woodward, OK",0.3498
cz34102,"Anchorage, AK",0.3492
cz11201,"Bluefield, VA & WV",0.3487
cz25401,"Paducah, IL & KY",0.3483
cz26305,"Rugby, ND",0.3483
cz27008,"Parkston, SD",0.3479
cz18700,"Sunbury, PA",0.3479
cz35901,"St. George, UT",0.3478
cz37903,"Mammoth Lakes, CA",0.3474
cz38300,"Los Angeles, AZ & CA",0.3472
cz26102,"Marshall, MO",0.3472
cz16801,"Beckley, WV",0.3472
cz24900,"Edwardsville, IL",0.3467
cz500,"Greensboro, NC & VA",0.3465
cz26002,"Duluth, MN & WI",0.3464
cz6900,"Sarasota, FL",0.3463
cz33000,"Fort Worth, TX",0.3462
cz8401,"Aiken, GA & SC",0.3457
cz17200,"Harrisonburg, VA & WV",0.3456
cz15100,"Lorain, OH",0.3454
cz36301,"Pocatello, ID",0.3449
cz34503,"Kalispell, MT",0.3448
cz36200,"Logan, ID & UT",0.3442
cz25701,"Cape Girardeau, MO",0.3442
cz34301,"Cody, WY",0.344
