cty,Name,Household_Income_rP_gP_pall
cty42091,"Montgomery County, PA",59230
cty42029,"Chester County, PA",58989
cty42017,"Bucks County, PA",57376
cty42045,"Delaware County, PA",52587
cty34005,"Burlington County, NJ",51524
cty34015,"Gloucester County, NJ",51496
cty34007,"Camden County, NJ",46126
cty42101,"Philadelphia County, PA",35115
